Name,Battery Energy,Availability,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Maker
Polestar 2 Standard Range Single Motor,67 kWh useable battery,Available since January 2023,205 km/h,385 km,174 Wh/km,620 km/h,Rear Wheel Drive,5,"€50,775","£44,950",Polestar
Polestar 2 Long Range Single Motor,78 kWh useable battery,Available since January 2023,205 km/h,440 km,177 Wh/km,680 km/h,Rear Wheel Drive,5,"€54,475","£48,950",Polestar
Polestar 2 Long Range Dual Motor,78 kWh useable battery,Available since January 2023,205 km/h,420 km,186 Wh/km,650 km/h,All Wheel Drive,5,"€58,775","£52,950",Polestar
Polestar 2 Long Range Performance,78 kWh useable battery,Available since January 2023,205 km/h,410 km,190 Wh/km,630 km/h,All Wheel Drive,5,"€65,275","£57,950",Polestar
XPENG P7 RWD Long Range,82.7 kWh useable battery,Available since February 2023,200 km/h,500 km,165 Wh/km,700 km/h,Rear Wheel Drive,5,N/A,N/A,XPENG
XPENG P7 AWD Performance,82.7 kWh useable battery,Available since February 2023,200 km/h,470 km,176 Wh/km,650 km/h,All Wheel Drive,5,N/A,N/A,XPENG
XPENG P7 Wing Edition,82.7 kWh useable battery,Available since February 2023,200 km/h,465 km,178 Wh/km,650 km/h,All Wheel Drive,5,N/A,N/A,XPENG
XPENG G9 RWD Standard Range,75 kWh useable battery,Available since February 2023,200 km/h,375 km,200 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A,XPENG
XPENG G9 RWD Long Range,94 kWh useable battery,Available since February 2023,200 km/h,470 km,200 Wh/km,980 km/h,Rear Wheel Drive,5,N/A,N/A,XPENG
XPENG G9 AWD Long Range,94 kWh useable battery,Available since February 2023,200 km/h,440 km,214 Wh/km,920 km/h,All Wheel Drive,5,N/A,N/A,XPENG
Mini Cooper SE Convertible,28.9 kWh useable battery,Available since April 2023,150 km/h,170 km,170 Wh/km,240 km/h,Front Wheel Drive,4,"€60,000","£52,500",Mini
Volkswagen ID.4 GTX,77 kWh useable battery,Available since July 2022,180 km/h,400 km,193 Wh/km,560 km/h,All Wheel Drive,5,"€53,255","£52,865",Volkswagen
Hyundai Kona Electric 48 kWh,48.4 kWh useable battery,Expected from September 2023,155 km/h,300 km,161 Wh/km,290 km/h,Front Wheel Drive,5,"€40,000","£35,000",Hyundai
Hyundai Kona Electric 65 kWh,65.4 kWh useable battery,Expected from September 2023,167 km/h,400 km,164 Wh/km,410 km/h,Front Wheel Drive,5,"€48,000","£40,000",Hyundai
Volkswagen ID.3 Pro,58 kWh useable battery,Available since March 2023,160 km/h,350 km,166 Wh/km,450 km/h,Rear Wheel Drive,5,"€39,995","£35,000",Volkswagen
Volkswagen ID.3 Pro S - 4 Seats,77 kWh useable battery,Available since March 2023,160 km/h,455 km,169 Wh/km,680 km/h,Rear Wheel Drive,4,"€47,595","£43,000",Volkswagen
Kia EV9 99.8 kWh RWD,99.8 kWh useable battery,Expected from September 2023,180 km/h,460 km,217 Wh/km,870 km/h,Rear Wheel Drive,7,"€65,000","£60,000",Kia
Kia EV9 99.8 kWh AWD,99.8 kWh useable battery,Expected from September 2023,180 km/h,450 km,222 Wh/km,850 km/h,All Wheel Drive,7,"€70,000","£65,000",Kia
